Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
42586349,05/04/2019 04:41:27 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11221,1366 PUTNAM AVENUE,PUTNAM AVENUE,WILSON AVENUE,KNICKERBOCKER AVENUE,WILSON AVENUE,KNICKERBOCKER AVENUE,ADDRESS,BROOKLYN,,,In Progress,,05/04/2019 08:45:43 PM,04 BROOKLYN,BROOKLYN,1008513,192293,Unspecified,BROOKLYN,,,,,,,,40.694443377701155,-73.91250393291735,"(40.694443377701155, -73.91250393291735)"
42586351,05/04/2019 10:41:52 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11210,EAST 26 STREET,EAST 26 STREET,FOSTER AVENUE,FLATBUSH AVENUE,FOSTER AVENUE,FLATBUSH AVENUE,BLOCKFACE,BROOKLYN,,,In Progress,,05/04/2019 02:48:19 PM,14 BROOKLYN,BROOKLYN,997556,171601,Unspecified,BROOKLYN,,,,,,,,40.63767170319662,-73.95205736900033,"(40.63767170319662, -73.95205736900033)"
42587234,05/04/2019 10:06:46 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11215,236 15 STREET,15 STREET,,,,,LATLONG,BROOKLYN,,,In Progress,,05/05/2019 02:15:46 AM,07 BROOKLYN,BROOKLYN,987366,181570,Unspecified,BROOKLYN,,,,,,,,40.66504388547545,-73.9887681847051,"(40.66504388547545, -73.9887681847051)"
42593484,05/05/2019 07:21:59 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Construction Site,11373,86-20 CORONA AVENUE,CORONA AVENUE,BROADWAY,87 STREET,BROADWAY,87 STREET,ADDRESS,ELMHURST,,,In Progress,,05/05/2019 11:37:03 PM,04 QUEENS,QUEENS,1018149,208742,Unspecified,QUEENS,,,,,,,,40.73956022955074,-73.8776722547781,"(40.73956022955074, -73.8776722547781)"
42593485,05/05/2019 11:32:53 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11420,134-36 135 AVENUE,135 AVENUE,134 PLACE,135 STREET,134 PLACE,135 STREET,ADDRESS,SOUTH OZONE PARK,,,In Progress,,05/06/2019 03:40:02 AM,10 QUEENS,QUEENS,1038679,182569,Unspecified,QUEENS,,,,,,,,40.667619158488094,-73.80379955467875,"(40.667619158488094, -73.80379955467875)"
42589073,05/04/2019 06:04:26 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10023,,,,,,,INTERSECTION,NEW YORK,,,In Progress,,05/04/2019 10:10:54 PM,07 MANHATTAN,MANHATTAN,989207,222394,Unspecified,MANHATTAN,,,,,,,,40.77709505617554,-73.98210211990181,"(40.77709505617554, -73.98210211990181)"
42589074,05/04/2019 08:12:30 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Mixed Use Building,10462,725 VAN NEST AVENUE,VAN NEST AVENUE,HUNT AVENUE,HOLLAND AVENUE,HUNT AVENUE,HOLLAND AVENUE,ADDRESS,BRONX,,,In Progress,,05/05/2019 12:14:58 AM,11 BRONX,BRONX,1021728,246796,Unspecified,BRONX,,,,,,,,40.84399362252245,-73.86454476891458,"(40.84399362252245, -73.86454476891458)"
42594096,05/05/2019 06:37:12 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11221,969 GATES AVENUE,GATES AVENUE,PATCHEN AVENUE,RALPH AVENUE,PATCHEN AVENUE,RALPH AVENUE,ADDRESS,BROOKLYN,,,In Progress,,05/05/2019 10:44:22 PM,03 BROOKLYN,BROOKLYN,1004633,190304,Unspecified,BROOKLYN,,,,,,,,40.68899382052253,-73.92650181383895,"(40.68899382052253, -73.92650181383895)"
42592847,05/05/2019 05:47:46 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11223,1921 EAST 7 STREET,EAST 7 STREET,AVENUE R,AVENUE S,AVENUE R,AVENUE S,ADDRESS,BROOKLYN,,,In Progress,,05/05/2019 09:55:42 PM,15 BROOKLYN,BROOKLYN,993917,159243,Unspecified,BROOKLYN,,,,,,,,40.60375629056572,-73.96518668484666,"(40.60375629056572, -73.96518668484666)"
42594691,05/05/2019 05:41:35 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11223,1921 EAST 7 STREET,EAST 7 STREET,AVENUE R,AVENUE S,AVENUE R,AVENUE S,ADDRESS,BROOKLYN,,,In Progress,,05/05/2019 09:48:36 PM,15 BROOKLYN,BROOKLYN,993917,159243,Unspecified,BROOKLYN,,,,,,,,40.60375629056572,-73.96518668484666,"(40.60375629056572, -73.96518668484666)"
42595271,05/05/2019 12:31:30 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10025,8 WEST 108 STREET,WEST 108 STREET,CENTRAL PARK WEST,MANHATTAN AVENUE,CENTRAL PARK WEST,MANHATTAN AVENUE,ADDRESS,NEW YORK,,,In Progress,,05/05/2019 04:37:55 PM,07 MANHATTAN,MANHATTAN,995466,230565,Unspecified,MANHATTAN,,,,,,,,40.79951653257634,-73.95948956145996,"(40.79951653257634, -73.95948956145996)"
42595275,05/05/2019 12:54:25 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Government Building,11206,25 CENTRAL AVENUE,CENTRAL AVENUE,FORREST STREET,NOLL STREET,FORREST STREET,NOLL STREET,ADDRESS,BROOKLYN,,,In Progress,,05/05/2019 04:57:08 PM,04 BROOKLYN,BROOKLYN,1002972,195136,Unspecified,BROOKLYN,,,,,,,,40.70226020425998,-73.93247770957852,"(40.70226020425998, -73.93247770957852)"
42595869,05/05/2019 10:35:58 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10025,210 WEST 107 STREET,WEST 107 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,ADDRESS,NEW YORK,,,In Progress,,05/06/2019 02:38:45 AM,07 MANHATTAN,MANHATTAN,993741,231219,Unspecified,MANHATTAN,,,,,,,,40.801313604964875,-73.965719066668,"(40.801313604964875, -73.965719066668)"
42595871,05/05/2019 11:04:21 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11215,630 UNION STREET,UNION STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,,,In Progress,,05/05/2019 03:10:28 PM,06 BROOKLYN,BROOKLYN,989103,185994,Unspecified,BROOKLYN,,,,,,,,40.67718599320298,-73.98250387551953,"(40.67718599320298, -73.98250387551953)"
42596670,05/06/2019 03:17:47 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10460,1663 GARFIELD STREET,GARFIELD STREET,MEAD STREET,VAN NEST AVENUE,MEAD STREET,VAN NEST AVENUE,ADDRESS,BRONX,,,In Progress,,05/06/2019 07:24:36 PM,11 BRONX,BRONX,1020881,246113,Unspecified,BRONX,,,,,,,,40.84212254375743,-73.8676097731301,"(40.84212254375743, -73.8676097731301)"
42597803,05/06/2019 09:19:27 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10025,230 WEST 107 STREET,WEST 107 STREET,,,,,LATLONG,NEW YORK,,,In Progress,,05/07/2019 01:23:00 AM,07 MANHATTAN,MANHATTAN,993438,231300,Unspecified,MANHATTAN,,,,,,,,40.801536248050695,-73.9668133738856,"(40.801536248050695, -73.9668133738856)"
42600050,05/06/2019 07:44:13 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10025,202 WEST 107 STREET,WEST 107 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,ADDRESS,NEW YORK,,,In Progress,,05/06/2019 11:47:08 PM,07 MANHATTAN,MANHATTAN,993807,231183,Unspecified,MANHATTAN,,,,,,,,40.801214723682534,-73.96548072981815,"(40.801214723682534, -73.96548072981815)"
42601230,05/06/2019 07:53:51 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11215,460 15 STREET,15 STREET,,,,,LATLONG,BROOKLYN,,,In Progress,,05/06/2019 11:56:46 AM,07 BROOKLYN,BROOKLYN,989536,180194,Unspecified,BROOKLYN,,,,,,,,40.661266040391574,-73.98094736407631,"(40.661266040391574, -73.98094736407631)"
42601233,05/07/2019 01:02:47 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10037,15 WEST 137 STREET,WEST 137 STREET,5 AVENUE,LENOX AVENUE,5 AVENUE,LENOX AVENUE,ADDRESS,NEW YORK,,,In Progress,,05/07/2019 05:09:51 AM,10 MANHATTAN,MANHATTAN,1001559,235985,Unspecified,MANHATTAN,,,,,,,,40.81438309751073,-73.93746862968939,"(40.81438309751073, -73.93746862968939)"
42603465,05/06/2019 04:54:35 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10458,2605 MARION AVENUE,MARION AVENUE,,,,,LATLONG,BRONX,,,In Progress,,05/06/2019 08:57:32 PM,07 BRONX,BRONX,1014171,254067,Unspecified,BRONX,,,,,,,,40.863979177138596,-73.89182524687094,"(40.863979177138596, -73.89182524687094)"
42605807,05/07/2019 09:25:00 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10026,1995 7 AVENUE,7 AVENUE,WEST 119 STREET,WEST 120 STREET,WEST 119 STREET,WEST 120 STREET,ADDRESS,NEW YORK,,,In Progress,,05/07/2019 01:33:18 PM,10 MANHATTAN,MANHATTAN,997872,232774,Unspecified,MANHATTAN,,,,,,,,40.805576249403835,-73.9507949855613,"(40.805576249403835, -73.9507949855613)"
42605809,05/07/2019 05:41:12 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11238,407 LINCOLN PLACE,LINCOLN PLACE,UNDERHILL AVENUE,WASHINGTON AVENUE,UNDERHILL AVENUE,WASHINGTON AVENUE,ADDRESS,BROOKLYN,,,In Progress,,05/07/2019 09:48:17 PM,08 BROOKLYN,BROOKLYN,994507,184409,Unspecified,BROOKLYN,,,,,,,,40.67283091333569,-73.96302368954532,"(40.67283091333569, -73.96302368954532)"
42605811,05/07/2019 09:56:52 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11238,375 LINCOLN PLACE,LINCOLN PLACE,UNDERHILL AVENUE,WASHINGTON AVENUE,UNDERHILL AVENUE,WASHINGTON AVENUE,ADDRESS,BROOKLYN,,,In Progress,,05/08/2019 01:59:36 AM,08 BROOKLYN,BROOKLYN,994293,184469,Unspecified,BROOKLYN,,,,,,,,40.672995845212846,-73.96379506641603,"(40.672995845212846, -73.96379506641603)"
42610588,05/07/2019 07:44:29 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10027,162 WEST 132 STREET,WEST 132 STREET,,,,,LATLONG,NEW YORK,,,In Progress,,05/07/2019 11:46:57 AM,10 MANHATTAN,MANHATTAN,999624,235429,Unspecified,MANHATTAN,,,,,,,,40.81286061234784,-73.94446038027107,"(40.81286061234784, -73.94446038027107)"
42610589,05/07/2019 10:44:00 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Parking Lot/Garage,11233,88 CHAUNCEY STREET,CHAUNCEY STREET,,,,,LATLONG,BROOKLYN,,,In Progress,,05/08/2019 02:46:46 AM,03 BROOKLYN,BROOKLYN,1003744,186975,Unspecified,BROOKLYN,,,,,,,,40.679858481158604,-73.92971705066394,"(40.679858481158604, -73.92971705066394)"
42608237,05/07/2019 09:52:22 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10468,3081 VILLA AVENUE,VILLA AVENUE,BEDFORD PARK BOULEVARD,EAST 204 STREET,BEDFORD PARK BOULEVARD,EAST 204 STREET,ADDRESS,BRONX,,,In Progress,,05/08/2019 01:55:31 AM,07 BRONX,BRONX,1015223,257766,Unspecified,BRONX,,,,,,,,40.87412816680052,-73.88800480955864,"(40.87412816680052, -73.88800480955864)"
42615336,05/08/2019 06:31:14 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11104,45-42 41 STREET,41 STREET,QUEENS BOULEVARD,47 AVENUE,QUEENS BOULEVARD,47 AVENUE,ADDRESS,SUNNYSIDE,,,In Progress,,05/30/2019 08:08:07 AM,02 QUEENS,QUEENS,1005435,209874,Unspecified,QUEENS,,,,,,,,40.74270688056264,-73.92354832988691,"(40.74270688056264, -73.92354832988691)"
42620242,05/08/2019 10:58:15 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10027,1315 AMSTERDAM AVENUE,AMSTERDAM AVENUE,LA SALLE STREET,WEST 125 STREET,LA SALLE STREET,WEST 125 STREET,ADDRESS,NEW YORK,,,In Progress,,05/08/2019 03:03:26 PM,09 MANHATTAN,MANHATTAN,996211,235349,Unspecified,MANHATTAN,,,,,,,,40.81264631485521,-73.95679021497357,"(40.81264631485521, -73.95679021497357)"
42623845,05/08/2019 07:12:25 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10003,226 EAST 18 STREET,EAST 18 STREET,,,,,LATLONG,NEW YORK,,,In Progress,,05/30/2019 08:08:06 AM,06 MANHATTAN,MANHATTAN,988611,207098,Unspecified,MANHATTAN,,,,,,,,40.7351117484315,-73.98426397501483,"(40.7351117484315, -73.98426397501483)"
42623849,05/08/2019 08:51:40 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11211,183 NORTH 6 STREET,NORTH 6 STREET,,,,,LATLONG,BROOKLYN,,,In Progress,,05/08/2019 12:56:09 PM,01 BROOKLYN,BROOKLYN,996143,200375,Unspecified,BROOKLYN,,,,,,,,40.71665182894054,-73.95709774865635,"(40.71665182894054, -73.95709774865635)"
42623851,05/08/2019 10:41:47 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11201,25 JORALEMON STREET,JORALEMON STREET,BROOKLYN QUEENS EXPRESSWAY,COLUMBIA PLACE,BROOKLYN QUEENS EXPRESSWAY,COLUMBIA PLACE,ADDRESS,BROOKLYN,,,In Progress,,05/08/2019 02:46:23 PM,02 BROOKLYN,BROOKLYN,984607,192047,Unspecified,BROOKLYN,,,,,,,,40.693801417183764,-73.99871261632923,"(40.693801417183764, -73.99871261632923)"
42623855,05/08/2019 11:14:32 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10025,WEST 107 STREET,WEST 107 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,BLOCKFACE,NEW YORK,,,In Progress,,05/30/2019 08:08:08 AM,07 MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,,,,,,,,,,
42625072,05/09/2019 09:36:29 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11432,161-36 GRAND CENTRAL PARKWAY,GRAND CENTRAL PARKWAY,161 STREET,164 STREET,161 STREET,164 STREET,ADDRESS,JAMAICA,,,In Progress,,05/31/2019 08:08:08 AM,08 QUEENS,QUEENS,1038536,200176,Unspecified,QUEENS,,,,,,,,40.7159470655528,-73.8041731407683,"(40.7159470655528, -73.8041731407683)"
42625076,05/09/2019 12:31:51 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11357,166 STREET,166 STREET,20 AVENUE,20 ROAD,20 AVENUE,20 ROAD,BLOCKFACE,WHITESTONE,,,In Progress,,05/31/2019 08:08:06 AM,07 QUEENS,QUEENS,1040310,223376,Unspecified,QUEENS,,,,,,,,40.779613995745954,-73.79758039130127,"(40.779613995745954, -73.79758039130127)"
42627375,05/09/2019 03:11:14 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11378,60-50 59 AVENUE,59 AVENUE,60 PLACE,60 LANE,60 PLACE,60 LANE,ADDRESS,MASPETH,,,In Progress,,05/31/2019 08:08:07 AM,05 QUEENS,QUEENS,1010634,201265,Unspecified,QUEENS,,,,,,,,40.71906331589196,-73.90482013514506,"(40.71906331589196, -73.90482013514506)"
42627376,05/09/2019 12:20:55 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10029,EAST 116 STREET,EAST 116 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,BLOCKFACE,NEW YORK,,,In Progress,,05/31/2019 08:08:07 AM,11 MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,,,,,,,,,,
42630726,05/09/2019 10:37:17 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10456,1264 SHERIDAN AVENUE,SHERIDAN AVENUE,EAST 167 STREET,EAST 168 STREET,EAST 167 STREET,EAST 168 STREET,ADDRESS,BRONX,,,In Progress,,05/31/2019 08:08:06 AM,04 BRONX,BRONX,1007647,243624,Unspecified,BRONX,,,,,,,,40.83533594601964,-73.9154481867503,"(40.83533594601964, -73.9154481867503)"
42630730,05/09/2019 10:44:31 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11235,185 MACKENZIE STREET,MACKENZIE STREET,SHORE BOULEVARD,JUGHANDLE,SHORE BOULEVARD,JUGHANDLE,ADDRESS,BROOKLYN,,,In Progress,,05/10/2019 02:49:31 AM,15 BROOKLYN,BROOKLYN,1000940,150223,Unspecified,BROOKLYN,,,,,,,,40.57898775971379,-73.93991736972812,"(40.57898775971379, -73.93991736972812)"
42631882,05/09/2019 09:19:40 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11249,151 KENT AVENUE,KENT AVENUE,,,,,LATLONG,BROOKLYN,,,In Progress,,05/31/2019 08:08:05 AM,01 BROOKLYN,BROOKLYN,994521,201147,Unspecified,BROOKLYN,,,,,,,,40.718772815196935,-73.96294769679714,"(40.718772815196935, -73.96294769679714)"
42631883,05/09/2019 12:43:42 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11205,170 WASHINGTON PARK,WASHINGTON PARK,,,,,LATLONG,BROOKLYN,,,In Progress,,05/31/2019 08:08:07 AM,02 BROOKLYN,BROOKLYN,991644,191473,Unspecified,BROOKLYN,,,,,,,,40.692222838424776,-73.97333700380143,"(40.692222838424776, -73.97333700380143)"
42633016,05/09/2019 10:51:37 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11216,541 GREENE AVENUE,GREENE AVENUE,,,,,LATLONG,BROOKLYN,,,In Progress,,05/10/2019 02:54:40 AM,03 BROOKLYN,BROOKLYN,998324,190247,Unspecified,BROOKLYN,,,,,,,,40.68884964960284,-73.94925127940188,"(40.68884964960284, -73.94925127940188)"
42633020,05/09/2019 07:54:35 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Building,11211,241 GRAND STREET,GRAND STREET,,,,,LATLONG,BROOKLYN,,,In Progress,,05/31/2019 08:08:09 AM,01 BROOKLYN,BROOKLYN,995652,199320,Unspecified,BROOKLYN,,,,,,,,40.71375675295679,-73.9588707457061,"(40.71375675295679, -73.9588707457061)"
42667407,05/14/2019 05:43:03 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11203,456 SCHENECTADY AVENUE,SCHENECTADY AVENUE,LEFFERTS AVENUE,EAST NEW YORK AVENUE,LEFFERTS AVENUE,EAST NEW YORK AVENUE,ADDRESS,BROOKLYN,,,In Progress,06/13/2019 05:43:03 PM,05/14/2019 09:50:47 PM,09 BROOKLYN,BROOKLYN,1002424,180720,Unspecified,BROOKLYN,,,,,,,,40.66269272007171,-73.93449299269521,"(40.66269272007171, -73.93449299269521)"
42642121,05/10/2019 08:09:21 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10460,1907 SOUTHERN BOULEVARD,SOUTHERN BOULEVARD,FAIRMOUNT PLACE,ELSMERE PLACE,FAIRMOUNT PLACE,ELSMERE PLACE,ADDRESS,BRONX,,,In Progress,,05/10/2019 12:15:21 PM,06 BRONX,BRONX,1015812,245844,Unspecified,BRONX,,,,,,,,40.84140379036161,-73.88593118437986,"(40.84140379036161, -73.88593118437986)"
42643225,05/11/2019 05:27:05 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11225,55 WINTHROP ST,WINTHROP ST,,,,,LATLONG,BROOKLYN,,,In Progress,06/10/2019 05:27:05 PM,05/11/2019 09:29:52 PM,09 BROOKLYN,BROOKLYN,995846,178581,Unspecified,BROOKLYN,,,,,,,,40.656832695223656,-73.95820664198861,"(40.656832695223656, -73.95820664198861)"
